Date,Amount,Description,Category
5/19/2023,$420.00,Rent - Bond,Home
5/19/2023,$35.00,Opal card,Transportation
5/19/2023,$20.00,Machi Machi,Food
5/19/2023,$140.00,Key $50 + Rent $90,Home
5/20/2023,$24.93,Malah+Coffee,Food
5/20/2023,$22.00,Coles (Adaptor+Socks),Personal
5/20/2023,$35.00,Kmart - Bed Bag,Utilities
5/21/2023,$20.40,Woolworths,Food
5/22/2023,$420.00,Rent,Home
5/22/2023,$10.55,Coles - Sauce + Shower cap,Food
5/22/2023,$9.00,Kmart - USB type C-A,Utilities
5/23/2023,$6.00,Coffee,Food
5/23/2023,$5.00,Office Work,Utilities
5/24/2023,$6.80,Coffee,Food
5/24/2023,$20.00,Opal card,Transportation
5/25/2023,$1.25,Woolworths - Water,Food
5/26/2023,$9.34,Opal card,Transportation
5/27/2023,$3.84,Opal card,Transportation
5/28/2023,$5.88,Milk Tea - Cha Social,Food
5/29/2023,$3.84,Opal card,Transportation
5/29/2023,$3.84,Opal card,Transportation
5/29/2023,$200.00,Key Parking,Home
5/29/2023,$4.50,Milk Tea - Cha Social,Food
5/30/2023,$35.00,Kmart (Adaptor),Utilities
5/30/2023,$6.25,Coles,Personal
5/30/2023,$6.29,Milk Tea - Gotcha Fresh Tea,Food
5/31/2023,$54.90,Journal Recipe Notebook,Gifts
5/31/2023,$25.43,Vivid - Hoy Pinoy,Food
5/31/2023,$7.00,Ice cream - Andersen's of denmark,Food
6/1/2023,$7.92,Milk Tea - Xing Fu Tang,Food
6/1/2023,$7.90,Ma ruay - Noodle,Food
6/1/2023,$10.00,Opal card,Transportation
6/1/2023,$24.36,Vivid - Fire Kitchen,Food
6/1/2023,$12.55,Coles (Toilet Tissue 24 Pack),Personal
6/2/2023,$36.69,Australia Post,Gifts
6/2/2023,$5.86,Milk Tea - Gong Cha,Food
6/3/2023,$4.89,Membership (Patreon),Personal
6/3/2023,$30.00,Wise (Open Digital Card),Personal
6/3/2023,$14.00,Akipan,Food
6/3/2023,$15.00,Opal card,Transportation
6/4/2023,$0.90,Woolworths - Water,Food
6/4/2023,$5.88,Milk Tea - Cha Social,Food
6/5/2023,$420.00,Rent,Home
6/5/2023,$300.00,Wise - To THB,Personal
6/5/2023,$18.27,Vivid - Fire Kitchen,Food
6/5/2023,$5.86,Milk Tea - Gong Cha,Food
6/6/2023,$15.00,Opal card,Transportation
6/6/2023,$5.88,Milk Tea - Cha Social,Food
6/7/2023,$10.00,Opal card,Transportation
6/7/2023,$18.27,Vivid - Fire Kitchen,Food
6/7/2023,$2.49,Water,Food
6/7/2023,$0.90,Woolworths - Water,Food
6/8/2023,$21.21,Rice & Curry Pyrmont - Boat Noodle,Food
6/9/2023,$5.88,Milk Tea - Cha Social,Food
6/10/2023,$11.50,Akipan,Food
6/10/2023,$34.31,Rice & Curry Pyrmont,Food
6/10/2023,$16.48,Chemist,Health/medical
6/10/2023,$46.00,Kmart - Blanket & Bottle,Utilities
6/11/2023,$26.19,Northern Chinese,Food
6/11/2023,$19.50,Siam Central,Health/medical
6/11/2023,$5.25,Thai Kee,Food
6/12/2023,$24.20,Shiba Kitchen,Food
6/12/2023,$15.00,Opal card,Transportation
6/13/2023,$22.97,Chemist,Health/medical
6/13/2023,$15.00,Opal card,Transportation
6/13/2023,$15.90,Rice & Curry Pyrmont,Food
6/13/2023,$20.65,Coles,Personal
6/14/2023,$150.00,Wise,Personal
6/15/2023,$15.00,Opal card,Transportation
6/16/2023,$25.98,Chemist,Health/medical
6/16/2023,$25.00,Big W - Bicycle Helmet,Utilities
6/16/2023,$5.90,Woolworths,Food
6/16/2023,$7.50,Gloves & Socks,Utilities
6/17/2023,$17.71,Social Brew Cafe,Food
6/17/2023,$12.00,Kmart - Scarf,Utilities
6/17/2023,$2.50,The Reject Shop,Food
